ano_eleicao;sigla_uf;nome_municipio;descricao_cargo;num_turno;numero_zona;sigla_partido;nome_candidato;nome_urna_candidato;numero_cand;desc_sit_cand_superior;desc_sit_candidato;desc_sit_cand_tot;total_votos
2004;SP;NIPOA;PREFEITO;1;77;PSDC;JOSÉ CARLOS CASELATO;CASELATO;27;;DEFERIDO;NÃO ELEITO;585
2004;SP;NOVA ALIANCA;PREFEITO;1;126;PSDB;AUGUSTO DONIZETTI FAJAN;GUSTO FAJAN;45;;DEFERIDO;ELEITO;1891
2004;SP;NOVA ALIANCA;PREFEITO;1;126;PT;VANDIL BAPTISTA CASEMIRO;VANDIL;13;;DEFERIDO;NÃO ELEITO;1697
2004;SP;NOVA CAMPINA;PREFEITO;1;53;PTB;ALAISE IDA CAMPOS MORAIS VASCONCELOS;LAISE;14;;DEFERIDO;ELEITO;2769
2004;SP;NOVA CAMPINA;PREFEITO;1;53;PSDB;NICANOR FERREIRA DA SILVA;NICANOR;45;;SUB JUDICE;RENÚNCIA/FALECIMENTO COM SUBSTITUIÇÃO;1803
2004;SP;NOVA CAMPINA;PREFEITO;1;53;PSDB;NILSON FERREIRA DA SILVA;NILSON DO NICANOR;45;;;NÃO ELEITO;1803
2004;SP;NOVA CAMPINA;PREFEITO;1;53;PV;ANTONIO LEUSE DE OLIVEIRA;LEUSE;43;;DEFERIDO;NÃO ELEITO;398
2004;SP;NOVA CANAA PAULISTA;PREFEITO;1;187;PSDB;CARLOS APARECIDO MARTINES ALVES;CARLÃO;45;;DEFERIDO;ELEITO;1043
2004;SP;NOVA CANAA PAULISTA;PREFEITO;1;187;PL;IRACEMA RODRIGUES COSTA MATUSHIMA;IRACEMA;22;;DEFERIDO;NÃO ELEITO;716
2004;SP;NOVA CASTILHO;PREFEITO;1;168;PSDB;ROBERTO LOPES;ROBERTO LOPES;45;;DEFERIDO;ELEITO;565
2004;SP;NOVA CASTILHO;PREFEITO;1;168;PTB;GERALDO FREDERICO RIGHI;GERALDO;14;;DEFERIDO;NÃO ELEITO;455
2004;SP;NOVA EUROPA;PREFEITO;1;239;PSDB;SEBASTIÃO SANTO CACHETA;CACHETA;45;;DEFERIDO;ELEITO;2883
2004;SP;NOVA EUROPA;PREFEITO;1;239;PSB;WALTER WILLIANS FIGUEIREDO;DR WALTER;40;;DEFERIDO;NÃO ELEITO;2414
2004;SP;NOVA GRANADA;PREFEITO;1;78;PT;APARECIDO DONIZETE MARTELI;PADRE CIDO;13;;DEFERIDO;ELEITO;5829
2004;SP;NOVA GRANADA;PREFEITO;1;78;PFL;FRUCTUOSO ROBERTO DE LIMA FILHO;DR  FRUCTUOSO;25;;DEFERIDO;NÃO ELEITO;4589
2004;SP;NOVA GRANADA;PREFEITO;1;78;PDT;JOSE FRANCISCO PEREIRA;ZÉ CALANGO;12;;DEFERIDO;NÃO ELEITO;414
2004;SP;NOVA GRANADA;PREFEITO;1;78;PC do B;VILSON CAETANO RODRIGUES;VILSON CAETANO RODRIGUES;65;;DEFERIDO;NÃO ELEITO;88
2004;SP;NOVA GUATAPORANGA;PREFEITO;1;175;PSDB;POLICARPO SANTOS FREIRE;PULÚ;45;;DEFERIDO;ELEITO;961
2004;SP;NOVA GUATAPORANGA;PREFEITO;1;175;PMDB;CLEONY CARLONI PUPO DE MENEZES;CLEONY;15;;DEFERIDO;NÃO ELEITO;505
2004;SP;NOVA INDEPENDENCIA;PREFEITO;1;9;PTB;VALDEMIR JOANINI;VALDEMIR JOANINI;14;;DEFERIDO;ELEITO;1332
2004;SP;NOVA INDEPENDENCIA;PREFEITO;1;9;PPS;MARIA JOSÉ DOS SANTOS;ZEZÉ;23;;DEFERIDO;NÃO ELEITO;254
2004;SP;NOVAIS;PREFEITO;1;179;PL;SILVIO ARRUDA;SILVIO BULLE;22;;DEFERIDO;ELEITO;1329
2004;SP;NOVAIS;PREFEITO;1;179;PSDB;MANOEL CABRERA PERES;MANE CABRERA;45;;DEFERIDO;NÃO ELEITO;1104
2004;SP;NOVA LUZITANIA;PREFEITO;1;162;PSDB;LAERTE APARECIDO ROCHA;LAERTE;45;;DEFERIDO;ELEITO;1456
2004;SP;NOVA LUZITANIA;PREFEITO;1;162;PP;DIRCEU ELIAS DA SILVA;DIRCEU ELIAS;11;;DEFERIDO;NÃO ELEITO;545
2004;SP;NOVA ODESSA;PREFEITO;1;292;PDT;MANOEL SAMARTIN;MANOEL SAMARTIN;12;;DEFERIDO;ELEITO;11647
2004;SP;NOVA ODESSA;PREFEITO;1;292;PT;NILTON AMANCIO PINTO;NILTON AMANCIO;13;;DEFERIDO;NÃO ELEITO;7873
2004;SP;NOVA ODESSA;PREFEITO;1;292;PSDB;FABIO JOSÉ MARTINS;FABIO MARTINS;45;;DEFERIDO;NÃO ELEITO;6970
2004;SP;NOVO HORIZONTE;PREFEITO;1;79;PPS;TOSHIO TOYOTA;TOYOTA;23;;DEFERIDO;ELEITO;11848
2004;SP;NOVO HORIZONTE;PREFEITO;1;79;PT;CÁSSIO DE FREITAS;CÁSSIO DE FREITAS;13;;DEFERIDO;NÃO ELEITO;7913
2004;SP;NUPORANGA;PREFEITO;1;235;PTB;ARISTIDES SILVA GOES;TIDINHO;14;;DEFERIDO;ELEITO;1632
2004;SP;NUPORANGA;PREFEITO;1;235;PPS;JOSE MAURO AMBROZETO;ZÉ MAURO;23;;DEFERIDO;NÃO ELEITO;1599
2004;SP;NUPORANGA;PREFEITO;1;235;PFL;AFRANIO JOAO GERA;AFRANIO;25;;DEFERIDO;NÃO ELEITO;1342
2004;SP;OCAUCU;PREFEITO;1;180;PSDB;DORIVAL MARZOLA;DORIVAL MARZOLA;45;;DEFERIDO;ELEITO;1295
2004;SP;OLEO;PREFEITO;1;94;PSB;RUBENS ESTEVES ROQUE;RUBINHO;40;;DEFERIDO;ELEITO;1396
2004;SP;OLEO;PREFEITO;1;94;PFL;AFFONSO GARCIA;AFONSO GARCIA;25;;DEFERIDO;NÃO ELEITO;568
2004;SP;OLEO;PREFEITO;1;94;PP;ROMILDO CANDIDO DE LARA;CORUMBA;11;;DEFERIDO;NÃO ELEITO;182
2004;SP;OLEO;PREFEITO;1;94;PDT;DORIVAL DE ANDRADE;DORIVAL DE ANDRADE;12;;DEFERIDO;NÃO ELEITO;91
2004;SP;OLIMPIA;PREFEITO;1;80;PMDB;LUIZ FERNANDO CARNEIRO;DR. CARNEIRO;15;;SUB JUDICE;ELEITO;10710
2004;SP;OLIMPIA;PREFEITO;1;80;PSB;CELSO MAZITELI JUNIOR;CELSO MAZITELI;40;;DEFERIDO;NÃO ELEITO;9226
2004;SP;OLIMPIA;PREFEITO;1;80;PSDB;JOSE FERNANDO RIZZATTI;ZÉ RIZZATTI;45;;DEFERIDO;NÃO ELEITO;5191
2004;SP;OLIMPIA;PREFEITO;1;80;PT;GUILHERME KIILL JUNIOR;GUILHERME KIILL;13;;DEFERIDO;NÃO ELEITO;1947
2004;SP;ONDA VERDE;PREFEITO;1;78;PL;JOÃO CARLOS MACHADO;DR. MACHADO;22;;DEFERIDO;ELEITO;1253
